날짜,선행종합지수,선행지수순환변동치
2004/2,64.6,100.8
2004/3,64.9,100.8
2004/4,65.1,100.8
2004/5,65.1,100.5
2004/6,65.1,100.3
2004/7,65.1,99.8
2004/8,65.1,99.5
2004/9,65.2,99.4
2004/10,65.5,99.4
2004/11,65.6,99.3
2004/12,65.7,99.2
2005/1,65.8,99.0
2005/2,66.2,99.2
2005/3,66.7,99.7
2005/4,67.0,99.7
2005/5,67.0,99.4
2005/6,67.0,99.1
2005/7,67.4,99.3
2005/8,67.8,99.6
2005/9,68.2,99.8
2005/10,68.5,99.9
2005/11,68.8,100.2
2005/12,69.3,100.5
2006/1,69.8,101.0
2006/2,70.0,101.0
2006/3,70.2,101.0
2006/4,70.2,100.7
2006/5,70.4,100.7
2006/6,70.4,100.4
2006/7,70.3,99.9
2006/8,70.3,99.7
2006/9,70.8,100.1
2006/10,71.3,100.6
2006/11,71.7,100.8
2006/12,71.8,100.7
2007/1,72.0,100.7
2007/2,72.3,100.7
2007/3,72.5,100.7
2007/4,72.8,100.8
2007/5,73.1,100.8
2007/6,73.6,101.1
2007/7,74.1,101.5
2007/8,74.4,101.6
2007/9,74.7,101.6
2007/10,74.8,101.4
2007/11,75.1,101.5
2007/12,75.3,101.4
2008/1,75.4,101.1
2008/2,75.2,100.5
2008/3,75.2,100.0
2008/4,75.2,99.8
2008/5,75.3,99.5
2008/6,75.3,99.1
2008/7,75.3,98.7
2008/8,75.4,98.6
2008/9,75.5,98.4
2008/10,75.5,98.1
2008/11,75.4,97.6
2008/12,75.4,97.3
2009/1,75.5,97.1
2009/2,76.0,97.5
2009/3,76.6,97.9
2009/4,77.7,98.9
2009/5,78.3,99.5
2009/6,79.2,100.3
2009/7,79.6,100.5
2009/8,80.0,100.7
2009/9,80.4,100.9
2009/10,81.1,101.4
2009/11,81.8,102.0
2009/12,82.3,102.3
2010/1,82.6,102.4
2010/2,82.8,102.3
2010/3,82.9,102.1
2010/4,83.0,101.9
2010/5,83.2,101.9
2010/6,83.5,101.9
2010/7,83.7,101.9
2010/8,83.8,101.7
2010/9,83.9,101.5
2010/10,83.8,101.0
2010/11,84.0,101.0
2010/12,84.2,100.8
2011/1,84.7,101.2
2011/2,85.0,101.2
2011/3,85.3,101.2
2011/4,85.3,101.0
2011/5,85.4,100.9
2011/6,85.6,100.8
2011/7,85.7,100.7
2011/8,85.7,100.5
2011/9,85.7,100.3
2011/10,85.8,100.0
2011/11,85.8,99.9
2011/12,85.9,99.7
2012/1,86.2,99.8
2012/2,86.7,100.1
2012/3,87.2,100.4
2012/4,87.6,100.6
2012/5,87.7,100.3
2012/6,87.9,100.3
2012/7,87.9,100.0
2012/8,87.9,99.7
2012/9,88.0,99.4
2012/10,88.2,99.3
2012/11,88.5,99.3
2012/12,88.9,99.4
2013/1,89.1,99.4
2013/2,89.4,99.4
2013/3,89.7,99.4
2013/4,90.1,99.5
2013/5,90.4,99.6
2013/6,90.9,99.7
2013/7,91.3,99.9
2013/8,91.7,99.9
2013/9,91.9,99.9
2013/10,92.4,100.0
2013/11,92.8,100.1
2013/12,93.2,100.3
2014/1,93.6,100.3
2014/2,93.9,100.3
2014/3,94.1,100.3
2014/4,94.4,100.2
2014/5,94.7,100.2
2014/6,95.0,100.1
2014/7,95.2,100.0
2014/8,95.5,100.1
2014/9,96.0,100.2
2014/10,96.4,100.3
2014/11,96.8,100.3
2014/12,97.1,100.3
2015/1,97.7,100.6
2015/2,98.1,100.7
2015/3,98.7,100.9
2015/4,99.2,101.1
2015/5,99.7,101.3
2015/6,99.9,101.2
2015/7,100.2,101.1
2015/8,100.5,101.1
2015/9,101.1,101.3
2015/10,101.4,101.3
2015/11,101.8,101.2
2015/12,101.8,100.9
2016/1,101.9,100.7
2016/2,101.9,100.3
2016/3,102.3,100.3
2016/4,102.7,100.3
2016/5,103.2,100.4
2016/6,103.5,100.4
2016/7,104.0,100.4
2016/8,104.5,100.6
2016/9,105.0,100.7
2016/10,105.5,100.8
2016/11,106.0,100.9
2016/12,106.5,101.0
2017/1,107.1,101.2
2017/2,107.6,101.3
2017/3,108.1,101.4
2017/4,108.6,101.5
2017/5,109.1,101.6
2017/6,109.7,101.7
2017/7,110.1,101.7
2017/8,110.6,101.8
2017/9,110.8,101.7
2017/10,111.3,101.7
2017/11,111.6,101.6
2017/12,111.8,101.4
2018/1,112.2,101.4
2018/2,112.5,101.2
2018/3,112.7,101.1
2018/4,112.7,100.8
2018/5,113.2,100.9
2018/6,113.5,100.9
2018/7,113.7,100.8
2018/8,113.6,100.4
2018/9,113.8,100.3
2018/10,113.9,100.1
2018/11,114.0,99.9
2018/12,114.0,99.7
2019/1,114.2,99.6
2019/2,114.4,99.5
2019/3,114.7,99.5
2019/4,115.1,99.5
2019/5,115.3,99.4
2019/6,115.4,99.3
2019/7,115.4,99.0
