날짜,기준금리
1999/5,4.75
1999/6,4.75
1999/7,4.75
1999/8,4.75
1999/9,4.75
1999/10,4.75
1999/11,4.75
1999/12,4.75
2000/1,4.75
2000/2,5.0
2000/3,5.0
2000/4,5.0
2000/5,5.0
2000/6,5.0
2000/7,5.0
2000/8,5.0
2000/9,5.0
2000/10,5.25
2000/11,5.25
2000/12,5.25
2001/1,5.25
2001/2,5.0
2001/3,5.0
2001/4,5.0
2001/5,5.0
2001/6,5.0
2001/7,4.75
2001/8,4.5
2001/9,4.0
2001/10,4.0
2001/11,4.0
2001/12,4.0
2002/1,4.0
2002/2,4.0
2002/3,4.0
2002/4,4.0
2002/5,4.25
2002/6,4.25
2002/7,4.25
2002/8,4.25
2002/9,4.25
2002/10,4.25
2002/11,4.25
2002/12,4.25
2003/1,4.25
2003/2,4.25
2003/3,4.25
2003/4,4.25
2003/5,4.0
2003/6,4.0
2003/7,3.75
2003/8,3.75
2003/9,3.75
2003/10,3.75
2003/11,3.75
2003/12,3.75
2004/1,3.75
2004/2,3.75
2004/3,3.75
2004/4,3.75
2004/5,3.75
2004/6,3.75
2004/7,3.75
2004/8,3.5
2004/9,3.5
2004/10,3.5
2004/11,3.25
2004/12,3.25
2005/1,3.25
2005/2,3.25
2005/3,3.25
2005/4,3.25
2005/5,3.25
2005/6,3.25
2005/7,3.25
2005/8,3.25
2005/9,3.25
2005/10,3.5
2005/11,3.5
2005/12,3.75
2006/1,3.75
2006/2,4.0
2006/3,4.0
2006/4,4.0
2006/5,4.0
2006/6,4.25
2006/7,4.25
2006/8,4.5
2006/9,4.5
2006/10,4.5
2006/11,4.5
2006/12,4.5
2007/1,4.5
2007/2,4.5
2007/3,4.5
2007/4,4.5
2007/5,4.5
2007/6,4.5
2007/7,4.75
2007/8,5.0
2007/9,5.0
2007/10,5.0
2007/11,5.0
2007/12,5.0
2008/1,5.0
2008/2,5.0
2008/3,5.0
2008/4,5.0
2008/5,5.0
2008/6,5.0
2008/7,5.0
2008/8,5.25
2008/9,5.25
2008/10,4.25
2008/11,4.0
2008/12,3.0
2009/1,2.5
2009/2,2.0
2009/3,2.0
2009/4,2.0
2009/5,2.0
2009/6,2.0
2009/7,2.0
2009/8,2.0
2009/9,2.0
2009/10,2.0
2009/11,2.0
2009/12,2.0
2010/1,2.0
2010/2,2.0
2010/3,2.0
2010/4,2.0
2010/5,2.0
2010/6,2.0
2010/7,2.25
2010/8,2.25
2010/9,2.25
2010/10,2.25
2010/11,2.5
2010/12,2.5
2011/1,2.75
2011/2,2.75
2011/3,3.0
2011/4,3.0
2011/5,3.0
2011/6,3.25
2011/7,3.25
2011/8,3.25
2011/9,3.25
2011/10,3.25
2011/11,3.25
2011/12,3.25
2012/1,3.25
2012/2,3.25
2012/3,3.25
2012/4,3.25
2012/5,3.25
2012/6,3.25
2012/7,3.0
2012/8,3.0
2012/9,3.0
2012/10,2.75
2012/11,2.75
2012/12,2.75
2013/1,2.75
2013/2,2.75
2013/3,2.75
2013/4,2.75
2013/5,2.5
2013/6,2.5
2013/7,2.5
2013/8,2.5
2013/9,2.5
2013/10,2.5
2013/11,2.5
2013/12,2.5
2014/1,2.5
2014/2,2.5
2014/3,2.5
2014/4,2.5
2014/5,2.5
2014/6,2.5
2014/7,2.5
2014/8,2.25
2014/9,2.25
2014/10,2.0
2014/11,2.0
2014/12,2.0
2015/1,2.0
2015/2,2.0
2015/3,1.75
2015/4,1.75
2015/5,1.75
2015/6,1.5
2015/7,1.5
2015/8,1.5
2015/9,1.5
2015/10,1.5
2015/11,1.5
2015/12,1.5
2016/1,1.5
2016/2,1.5
2016/3,1.5
2016/4,1.5
2016/5,1.5
2016/6,1.25
2016/7,1.25
2016/8,1.25
2016/9,1.25
2016/10,1.25
2016/11,1.25
2016/12,1.25
2017/1,1.25
2017/2,1.25
2017/3,1.25
2017/4,1.25
2017/5,1.25
2017/6,1.25
2017/7,1.25
2017/8,1.25
2017/9,1.25
2017/10,1.25
2017/11,1.5
2017/12,1.5
2018/1,1.5
2018/2,1.5
2018/3,1.5
2018/4,1.5
2018/5,1.5
2018/6,1.5
2018/7,1.5
2018/8,1.5
2018/9,1.5
2018/10,1.5
2018/11,1.75
2018/12,1.75
2019/1,1.75
2019/2,1.75
2019/3,1.75
2019/4,1.75
2019/5,1.75
2019/6,1.75
2019/7,1.5
2019/8,1.5
2019/9,1.5
2019/10,1.25
2019/11,1.25
2019/12,1.25
2020/1,1.25
2020/2,1.25
2020/3,0.75
