날짜,발틱운임지수
1998/12,
1999/1,827.0
1999/2,964.0
1999/3,902.0
1999/4,1091.0
1999/5,
1999/6,970.0
1999/7,1003.0
1999/8,1038.0
1999/9,1243.0
1999/10,1351.0
1999/11,1351.0
1999/12,
2000/1,1319.0
2000/2,1531.0
2000/3,1660.0
2000/4,1628.0
2000/5,1566.0
2000/6,1616.0
2000/7,1642.0
2000/8,1652.0
2000/9,1739.0
2000/10,1759.0
2000/11,1672.0
2000/12,
2001/1,1504.0
2001/2,1537.0
2001/3,1438.0
2001/4,1459.0
2001/5,1389.0
2001/6,1386.0
2001/7,1049.0
2001/8,927.0
2001/9,952.0
2001/10,861.0
2001/11,868.0
2001/12,876.0
2002/1,908.0
2002/2,1031.0
2002/3,
2002/4,1027.0
2002/5,1042.0
2002/6,1005.0
2002/7,968.0
2002/8,1036.0
2002/9,1367.0
2002/10,1417.0
2002/11,1560.0
2002/12,
2003/1,1540.0
2003/2,1764.0
2003/3,1939.0
2003/4,2142.0
2003/5,2127.0
2003/6,2125.0
2003/7,2181.0
2003/8,2265.0
2003/9,2993.0
2003/10,4555.0
2003/11,4417.0
2003/12,
2004/1,5551.0
2004/2,5263.0
2004/3,4822.0
2004/4,3958.0
2004/5,
2004/6,3005.0
2004/7,4048.0
2004/8,4186.0
2004/9,4105.0
2004/10,4922.0
2004/11,6051.0
2004/12,
2005/1,4488.0
2005/2,4726.0
2005/3,4637.0
2005/4,3850.0
2005/5,3219.0
2005/6,2521.0
2005/7,1804.0
2005/8,2592.0
2005/9,2907.0
2005/10,3113.0
2005/11,2770.0
2005/12,
2006/1,2081.0
2006/2,2680.0
2006/3,2496.0
2006/4,2368.0
2006/5,2416.0
2006/6,2964.0
2006/7,3285.0
2006/8,3847.0
2006/9,3944.0
2006/10,4037.0
2006/11,4336.0
2006/12,
2007/1,4225.0
2007/2,4765.0
2007/3,5388.0
2007/4,6248.0
2007/5,5971.0
2007/6,6278.0
2007/7,6967.0
2007/8,7702.0
2007/9,9474.0
2007/10,10656.0
2007/11,10210.0
2007/12,
2008/1,6052.0
2008/2,7613.0
2008/3,8081.0
2008/4,9356.0
2008/5,11440.0
2008/6,9589.0
2008/7,8341.0
2008/8,6809.0
2008/9,3217.0
2008/10,851.0
2008/11,715.0
2008/12,
2009/1,1070.0
2009/2,1986.0
2009/3,1615.0
2009/4,1786.0
2009/5,3494.0
2009/6,3757.0
2009/7,3350.0
2009/8,
2009/9,2220.0
2009/10,3103.0
2009/11,3887.0
2009/12,
2010/1,2848.0
2010/2,2738.0
2010/3,2998.0
2010/4,3354.0
2010/5,
2010/6,2406.0
2010/7,1967.0
2010/8,2713.0
2010/9,2446.0
2010/10,2678.0
2010/11,2099.0
2010/12,
2011/1,1107.0
2011/2,1251.0
2011/3,1530.0
2011/4,
2011/5,1480.0
2011/6,1413.0
2011/7,1264.0
2011/8,1619.0
2011/9,1899.0
2011/10,1965.0
2011/11,1846.0
2011/12,
2012/1,680.0
2012/2,750.0
2012/3,
2012/4,1155.0
2012/5,923.0
2012/6,1004.0
2012/7,897.0
2012/8,703.0
2012/9,766.0
2012/10,1026.0
2012/11,1086.0
2012/12,
2013/1,760.0
2013/2,757.0
2013/3,
2013/4,863.0
2013/5,809.0
2013/6,1171.0
2013/7,1062.0
2013/8,1132.0
2013/9,2003.0
2013/10,1504.0
2013/11,1821.0
2013/12,
2014/1,1148.0
2014/2,1258.0
2014/3,1362.0
2014/4,943.0
2014/5,934.0
2014/6,850.0
2014/7,755.0
2014/8,1147.0
2014/9,1063.0
2014/10,1428.0
2014/11,1153.0
2014/12,
2015/1,608.0
2015/2,540.0
2015/3,602.0
2015/4,591.0
2015/5,589.0
2015/6,800.0
2015/7,1131.0
2015/8,
2015/9,900.0
2015/10,721.0
2015/11,584.0
2015/12,
2016/1,317.0
2016/2,329.0
2016/3,429.0
2016/4,703.0
2016/5,612.0
2016/6,660.0
2016/7,656.0
2016/8,711.0
2016/9,875.0
2016/10,857.0
2016/11,1204.0
2016/12,
2017/1,800.0
2017/2,859.0
2017/3,1297.0
2017/4,1109.0
2017/5,878.0
2017/6,901.0
2017/7,946.0
2017/8,1184.0
2017/9,1356.0
2017/10,1534.0
2017/11,1578.0
2017/12,
2018/1,1152.0
2018/2,1192.0
2018/3,
2018/4,1341.0
2018/5,1090.0
2018/6,1385.0
2018/7,1747.0
2018/8,1579.0
2018/9,1540.0
2018/10,1513.0
2018/11,1231.0
2018/12,
2019/1,668.0
2019/2,658.0
2019/3,689.0
2019/4,1011.0
2019/5,1096.0
2019/6,1354.0
2019/7,1868.0
2019/8,2378.0
2019/9,1823.0
2019/10,1731.0
2019/11,1528.0
2019/12,
2020/1,487.0
2020/2,535.0
2020/3,626.0
2020/4,643.0
2020/5,598.0
