날짜,생산자물가지수
1998/1,77.75
1998/2,79.72
1998/3,79.55
1998/4,79.62
1998/5,78.76
1998/6,78.68
1998/7,78.29
1998/8,77.73
1998/9,77.79
1998/10,77.82
1998/11,77.69
1998/12,77.26
1999/1,76.42
1999/2,76.25
1999/3,76.11
1999/4,76.32
1999/5,76.64
1999/6,76.15
1999/7,76.03
1999/8,76.52
1999/9,76.89
1999/10,77.69
1999/11,78.15
1999/12,77.96
2000/1,78.77
2000/2,78.57
2000/3,78.52
2000/4,78.14
2000/5,77.95
2000/6,78.14
2000/7,78.22
2000/8,78.22
2000/9,78.48
2000/10,78.4
2000/11,78.36
2000/12,78.46
2001/1,78.68
2001/2,78.52
2001/3,78.7
2001/4,78.65
2001/5,78.58
2001/6,78.26
2001/7,78.21
2001/8,77.83
2001/9,77.62
2001/10,77.25
2001/11,76.94
2001/12,76.47
2002/1,76.65
2002/2,77.04
2002/3,77.44
2002/4,78.04
2002/5,78.37
2002/6,77.87
2002/7,77.65
2002/8,77.75
2002/9,77.91
2002/10,78.01
2002/11,78.17
2002/12,78.18
2003/1,78.77
2003/2,79.19
2003/3,79.96
2003/4,79.56
2003/5,79.12
2003/6,78.74
2003/7,78.88
2003/8,79.17
2003/9,79.5
2003/10,79.73
2003/11,80.1
2003/12,80.62
2004/1,81.72
2004/2,82.74
2004/3,83.54
2004/4,83.94
2004/5,84.14
2004/6,84.06
2004/7,84.4
2004/8,85.14
2004/9,85.49
2004/10,85.53
2004/11,85.59
2004/12,84.96
2005/1,85.78
2005/2,85.95
2005/3,86.03
2005/4,86.27
2005/5,85.71
2005/6,85.32
2005/7,85.84
2005/8,86.08
2005/9,86.46
2005/10,86.69
2005/11,86.44
2005/12,86.19
2006/1,86.49
2006/2,86.53
2006/3,86.42
2006/4,86.58
2006/5,86.88
2006/6,86.72
2006/7,86.99
2006/8,87.55
2006/9,87.84
2006/10,87.03
2006/11,86.61
2006/12,86.53
2007/1,86.54
2007/2,86.59
2007/3,86.96
2007/4,87.57
2007/5,88.06
2007/6,88.24
2007/7,88.35
2007/8,88.3
2007/9,88.72
2007/10,88.9
2007/11,89.27
2007/12,89.63
2008/1,90.13
2008/2,90.97
2008/3,92.15
2008/4,94.11
2008/5,96.0
2008/6,97.54
2008/7,99.44
2008/8,99.16
2008/9,98.75
2008/10,98.49
2008/11,96.2
2008/12,94.58
2009/1,94.31
2009/2,94.95
2009/3,95.4
2009/4,95.51
2009/5,94.78
2009/6,94.53
2009/7,95.61
2009/8,96.16
2009/9,96.25
2009/10,95.48
2009/11,95.81
2009/12,96.29
2010/1,96.71
2010/2,96.88
2010/3,97.33
2010/4,98.04
2010/5,98.87
2010/6,98.98
2010/7,99.23
2010/8,99.53
2010/9,100.1
2010/10,100.47
2010/11,100.82
2010/12,101.75
2011/1,103.32
2011/2,104.09
2011/3,105.34
2011/4,105.99
2011/5,106.31
2011/6,106.07
2011/7,106.21
2011/8,106.35
2011/9,106.43
2011/10,106.33
2011/11,105.99
2011/12,106.09
2012/1,106.64
2012/2,107.37
2012/3,107.9
2012/4,107.95
2012/5,107.35
2012/6,106.05
2012/7,105.58
2012/8,106.23
2012/9,106.61
2012/10,105.78
2012/11,105.05
2012/12,104.79
2013/1,104.96
2013/2,105.68
2013/3,105.26
2013/4,104.93
2013/5,104.57
2013/6,104.55
2013/7,104.53
2013/8,104.82
2013/9,104.71
2013/10,104.34
2013/11,104.13
2013/12,104.37
2014/1,104.65
2014/2,104.78
2014/3,104.74
2014/4,104.58
2014/5,104.56
2014/6,104.61
2014/7,104.69
2014/8,104.58
2014/9,104.2
2014/10,103.47
2014/11,103.15
2014/12,102.14
2015/1,100.89
2015/2,100.96
2015/3,100.84
2015/4,100.8
2015/5,100.87
2015/6,100.82
2015/7,100.45
2015/8,99.83
2015/9,99.39
2015/10,98.71
2015/11,98.32
2015/12,98.09
2016/1,97.56
2016/2,97.56
2016/3,97.5
2016/4,97.74
2016/5,97.86
2016/6,98.09
2016/7,97.98
2016/8,98.07
2016/9,98.3
2016/10,98.59
2016/11,99.03
2016/12,99.9
2017/1,101.35
2017/2,101.74
2017/3,101.7
2017/4,101.48
2017/5,101.21
2017/6,100.81
2017/7,100.89
2017/8,101.35
2017/9,102.03
2017/10,102.14
2017/11,102.04
2017/12,102.09
2018/1,102.52
2018/2,102.95
2018/3,102.91
2018/4,103.04
2018/5,103.34
2018/6,103.37
2018/7,103.85
2018/8,104.32
2018/9,104.62
2018/10,104.26
2018/11,103.53
2018/12,103.03
2019/1,102.92
2019/2,103.02
2019/3,103.38
2019/4,103.68
2019/5,103.79
2019/6,103.5
2019/7,103.5
2019/8,103.74
2019/9,103.8
2019/10,103.56
2019/11,103.41
2019/12,103.7
2020/1,104.08
2020/2,103.74
2020/3,102.89
