날짜,원계열,계절조정
1999/6,6.7,7.1
1999/7,6.7,7.0
1999/8,6.2,6.5
1999/9,5.2,5.7
1999/10,5.0,5.5
1999/11,4.8,5.2
1999/12,5.2,5.2
2000/1,5.7,5.1
2000/2,5.7,4.8
2000/3,5.1,4.5
2000/4,4.5,4.4
2000/5,4.1,4.3
2000/6,3.9,4.1
2000/7,4.0,4.1
2000/8,4.1,4.3
2000/9,4.0,4.4
2000/10,3.7,4.1
2000/11,3.9,4.2
2000/12,4.4,4.4
2001/1,5.1,4.5
2001/2,5.5,4.6
2001/3,5.1,4.6
2001/4,4.1,4.0
2001/5,3.7,3.9
2001/6,3.6,3.8
2001/7,3.6,3.8
2001/8,3.6,3.8
2001/9,3.3,3.7
2001/10,3.3,3.7
2001/11,3.4,3.7
2001/12,3.7,3.7
2002/1,4.1,3.7
2002/2,4.1,3.5
2002/3,3.8,3.4
2002/4,3.4,3.4
2002/5,3.1,3.3
2002/6,2.9,3.1
2002/7,3.0,3.1
2002/8,3.2,3.3
2002/9,2.7,3.0
2002/10,2.8,3.1
2002/11,2.9,3.1
2002/12,3.1,3.1
2003/1,3.7,3.4
2003/2,3.8,3.3
2003/3,3.7,3.4
2003/4,3.5,3.4
2003/5,3.4,3.6
2003/6,3.4,3.6
2003/7,3.6,3.6
2003/8,3.5,3.7
2003/9,3.3,3.6
2003/10,3.4,3.7
2003/11,3.5,3.9
2003/12,3.8,3.7
2004/1,4.0,3.6
2004/2,4.1,3.6
2004/3,4.0,3.6
2004/4,3.7,3.6
2004/5,3.5,3.7
2004/6,3.4,3.5
2004/7,3.6,3.7
2004/8,3.6,3.7
2004/9,3.3,3.6
2004/10,3.4,3.7
2004/11,3.5,3.7
2004/12,3.8,3.8
2005/1,4.3,3.9
2005/2,4.3,3.7
2005/3,4.1,3.7
2005/4,3.8,3.7
2005/5,3.6,3.7
2005/6,3.6,3.8
2005/7,3.7,3.7
2005/8,3.6,3.7
2005/9,3.6,3.9
2005/10,3.6,3.9
2005/11,3.3,3.6
2005/12,3.5,3.6
2006/1,3.8,3.4
2006/2,4.1,3.6
2006/3,3.9,3.6
2006/4,3.5,3.5
2006/5,3.2,3.4
2006/6,3.4,3.5
2006/7,3.4,3.5
2006/8,3.4,3.5
2006/9,3.2,3.5
2006/10,3.3,3.5
2006/11,3.2,3.5
2006/12,3.3,3.4
2007/1,3.6,3.4
2007/2,3.7,3.2
2007/3,3.5,3.2
2007/4,3.4,3.3
2007/5,3.2,3.3
2007/6,3.2,3.2
2007/7,3.3,3.3
2007/8,3.1,3.2
2007/9,3.0,3.2
2007/10,3.0,3.2
2007/11,3.0,3.3
2007/12,3.1,3.2
2008/1,3.3,3.0
2008/2,3.5,3.0
2008/3,3.4,3.0
2008/4,3.2,3.1
2008/5,3.1,3.2
2008/6,3.1,3.1
2008/7,3.1,3.1
2008/8,3.1,3.2
2008/9,3.0,3.2
2008/10,3.0,3.2
2008/11,3.0,3.3
2008/12,3.3,3.4
2009/1,3.6,3.4
2009/2,3.9,3.4
2009/3,4.0,3.6
2009/4,3.8,3.6
2009/5,3.8,3.9
2009/6,3.8,3.9
2009/7,3.7,3.8
2009/8,3.7,3.8
2009/9,3.3,3.6
2009/10,3.2,3.5
2009/11,3.3,3.7
2009/12,3.5,3.6
2010/1,5.0,4.7
2010/2,4.8,4.1
2010/3,4.1,3.7
2010/4,3.7,3.6
2010/5,3.2,3.2
2010/6,3.5,3.5
2010/7,3.7,3.7
2010/8,3.3,3.5
2010/9,3.4,3.7
2010/10,3.3,3.6
2010/11,3.0,3.3
2010/12,3.5,3.7
2011/1,3.8,3.6
2011/2,4.5,3.7
2011/3,4.3,3.8
2011/4,3.7,3.5
2011/5,3.2,3.3
2011/6,3.3,3.3
2011/7,3.3,3.3
2011/8,3.0,3.2
2011/9,3.0,3.3
2011/10,2.9,3.2
2011/11,2.9,3.2
2011/12,3.0,3.2
2012/1,3.5,3.3
2012/2,4.2,3.4
2012/3,3.7,3.3
2012/4,3.5,3.3
2012/5,3.1,3.2
2012/6,3.2,3.2
2012/7,3.1,3.1
2012/8,3.0,3.1
2012/9,2.9,3.2
2012/10,2.8,3.1
2012/11,2.8,3.1
2012/12,2.9,3.1
2013/1,3.4,3.2
2013/2,3.9,3.2
2013/3,3.5,3.0
2013/4,3.2,3.0
2013/5,3.0,3.1
2013/6,3.1,3.1
2013/7,3.1,3.2
2013/8,3.0,3.1
2013/9,2.7,3.0
2013/10,2.7,3.1
2013/11,2.6,3.0
2013/12,3.0,3.2
2014/1,3.4,3.3
2014/2,4.5,3.6
2014/3,3.9,3.4
2014/4,3.8,3.6
2014/5,3.5,3.6
2014/6,3.5,3.5
2014/7,3.4,3.4
2014/8,3.3,3.5
2014/9,3.1,3.5
2014/10,3.2,3.6
2014/11,3.0,3.5
2014/12,3.3,3.7
2015/1,3.7,3.6
2015/2,4.5,3.6
2015/3,4.0,3.5
2015/4,3.9,3.6
2015/5,3.7,3.7
2015/6,3.8,3.8
2015/7,3.6,3.7
2015/8,3.4,3.5
2015/9,3.2,3.5
2015/10,3.1,3.5
2015/11,3.0,3.6
2015/12,3.2,3.5
2016/1,3.7,3.6
2016/2,4.9,3.9
2016/3,4.2,3.7
2016/4,3.9,3.6
2016/5,3.6,3.6
2016/6,3.6,3.6
2016/7,3.5,3.6
2016/8,3.6,3.7
2016/9,3.5,3.9
2016/10,3.3,3.8
2016/11,3.1,3.6
2016/12,3.2,3.5
2017/1,3.7,3.6
2017/2,4.9,3.9
2017/3,4.1,3.6
2017/4,4.2,3.8
2017/5,3.6,3.5
2017/6,3.8,3.8
2017/7,3.4,3.5
2017/8,3.6,3.7
2017/9,3.3,3.7
2017/10,3.2,3.7
2017/11,3.1,3.7
2017/12,3.3,3.7
2018/1,3.7,3.6
2018/2,4.6,3.6
2018/3,4.5,4.0
2018/4,4.1,3.8
2018/5,4.0,3.9
2018/6,3.7,3.7
2018/7,3.7,3.8
2018/8,4.0,4.2
2018/9,3.6,4.0
2018/10,3.5,4.0
2018/11,3.2,3.8
2018/12,3.4,3.8
2019/1,4.5,4.3
2019/2,4.7,3.7
2019/3,4.3,3.8
2019/4,4.4,4.0
2019/5,4.0,4.0
2019/6,4.0,4.0
2019/7,3.9,4.0
2019/8,3.0,3.1
2019/9,3.1,3.4
2019/10,3.0,3.5
2019/11,3.1,3.6
2019/12,3.4,3.7
2020/1,4.1,4.0
2020/2,4.1,3.3
2020/3,4.2,3.8
